Known Minecraft centric spam ASNs
174
984
6147
7765
9009
9312
11417
11878
12876
13335
14061
16509
20115
20473
22047
27650
31898
34977
43357
44477
49870
51167
51396
51852
54801
57043
200019
204457
210644
212238
213887
214640
265091
399486
None
