Current ASNs
10439
10620
1101
11417
11878
12322
12555
12586
12741
12876
13213
132203
13335
135377
136197
136557
140061
14061
142403
14593
14618
16276
16509
174
17488
17638
18403
197540
198610
200019
20115
201814
202425
203020
204035
204457
20473
207656
207990
209043
209101
20960
210644
211298
211680
212238
212317
213277
213619
213887
214503
214640
214943
215292
21859
23959
24940
24961
264556
265091
27901
27947
27951
29119
2914
30893
31898
32002
3215
3269
3320
3462
34977
34989
36103
36352
36680
37069
39351
394256
396982
398324
398705
398722
399629
399979
400161
40021
400882
401116
4134
42132
42708
43205
43357
43513
44477
44592
45102
45820
4766
48014
4808
4812
48753
49532
49870
50053
50304
5089
51167
51396
51430
51765
51852
53667
5413
54801
56046
56655
57043
57269
58461
60068
60223
6147
6233
62744
63949
64289
6730
6855
701
7765
7922
8048
8075
8560
9009
9123
9312
9500
9605
984
None
