Registerd Country Code, ASNs
AE,174,209043,209290,210644,216341,29802,834
AM,216246
BG,200019,204428,204457,210644,215292,215730,215925,44477,48014,50053,59711,60223,60647
CA,16276,174,26561,62160
CH,210644
CN,132203,63199
CY,209366,44477
CZ,212271
DE,212317,23959,24940,40021,43357,49434,51167,51396,8075
EE,57043
FR,12876,213412
GB,12876,14061,141995,200019,212238,25369,60068,8075,9009
HK,135377
IE,32934
IN,136557,203020,207990,39486
IR,210644
IS,200651
LT,206216,216099,3320,56322
MD,44477
MU,215925
NL,197854,202425,210558,212238,23470,32002,396356,48693,51430,63949
NO,50304
PA,48721,51852
RO,212238,48090,48753,9009
RU,200019,202306,210644,211736,213887,51765
SC,12989,174,200373,20326,206264,401116,401120,54801,8796,984
SE,12552,31898,39351,42708
SG,132203,14061,210644,216246,45102
UA,174,29802,56380
US,11878,13335,14061,152644,16509,174,201814,203020,20473,212238,21859,22363,28126,31898,396982,399629,400940,45102,49532,49870,51167,53724,60223,61112,63949,8075
VG,51765
VU,9312
ZA,174
