Country Code, ASNs
AE,212238,8075,9009
AM,197834
AR,19037,266702,274103,27747
AT,133944,174,197540,210644,214996,8447,9009
AU,1221,13335,136557,136994,14061,203020,43357,4804,8075,9009
AZ,19318,215762
BA,137409,9146
BD,134371,137048,139675,23688,24122,38493,45326,58689
BE,174,396982,9009
BG,200391,209101,214209,214943,216260,34224,399486,399979,41019,43205,48090,50360,57509,9009
BO,26210
BR,132203,16509,18881,212238,262287,262378,263085,263152,263508,263629,263650,264556,265091,265989,26599,26615,266524,267385,271338,28126,28270,28343,28573,52573,53107,61828,63949,7738
BY,25106
CA,11878,12989,14061,16276,212238,36817,394256,396982,52053,54198,5769,62563,6327,7765,8075,852,855,9009
CH,15169,200019,212238,215540,39351,42624,51852,63023,6730,9009
CI,29571
CL,136907,14259,22047,27901,7418
CN,132153,133774,134420,134756,134761,134768,135089,136180,136195,137693,137695,137718,138982,139201,140061,140527,140726,141998,146966,149178,17621,17622,17638,23724,23910,24400,37963,38365,4134,45090,4808,4812,4837,4847,55990,56046,58461,58466,58519,58563,58772,59223,63199,63835,63838,7497,9808
CO,10620,14080,27650,27951,31898,3816
CR,11830
CZ,198605,212238,29134,50833,5610,60068,62160,9009
DE,12586,12816,132203,13335,135377,13627,14061,16509,197540,198584,199785,201814,204035,205100,206216,208191,208843,209043,209854,210644,211507,212238,212512,213438,213887,214943,215476,215590,215730,215778,215929,216129,22363,24940,24961,29014,3209,3320,35042,39351,396356,401152,42969,43357,44592,45102,48014,49532,49581,49683,51167,60068,60223,60729,62240,63949,680,8075,8220,8560,9009
DK,136787,39351,42708,9009
EC,27947
EE,197414,209702,58065
EG,37069,8452,9009
ES,12479,15704,174,203020,205375,212238,22363,29119,3352,34977,57269,8560,9009
FI,203003,24940,396982,44477,50304,51765
FR,12322,12876,13335,15557,16276,16509,174,200373,20473,210644,210743,211590,212238,213412,22363,25369,31898,3215,3257,39351,39486,44477,49434,51167,5410,60068,8075,8560,9009
GB,12552,135377,14061,174,200373,201579,202306,203020,205544,20738,209366,209605,211298,215929,25369,2856,31898,39351,396982,42624,43357,45102,5089,51167,5413,63949,8075,8560,9009
GH,29614
GR,212238,9123
HK,132203,132883,133380,135377,136907,139358,142403,152644,21859,396982,45102,61112,62610,8796,9009,9269,9312,9465
HR,212238,31012,61094
HU,20845,211619,9009
ID,132203,135377,141892,150436,151595,17451,23693,45305,63859,7713
IE,16509,36352,8075,9009
IL,19527,212238,8551
IN,132116,133237,133647,133661,133982,135377,135738,135761,135848,137619,14061,141004,17488,18101,18209,199404,203020,24560,31898,396982,45582,45820,55836,55947,58762,59169,63949,8075,9498,9829
IQ,206206,209273
IR,213790,214295,31549,42337,48715,58224
IT,12874,137409,212238,212271,30722,31034,3269,49367,9009
JP,10010,132203,135377,16509,17511,203020,203061,212238,23959,2518,396982,45102,4685,4713,54801,63199,63949,7684,8075,9009,9371,9605
KR,132203,45102,4766,8075
KZ,21299
LK,9009
LT,209605
LU,51430,53667
LV,43513
MA,36925
MC,48721
MD,200019,48753,56380
MN,45204
MU,135377
MX,212238,28453,8151
MY,132241,45102,45839,8075
NA,36996
NG,135377,9009
NL,1101,1103,1133,12876,136557,14061,200019,202425,206264,210558,210644,211522,212238,213619,215292,215925,216127,21859,33915,39351,396982,39832,401109,401116,401120,43357,48090,49453,49544,49870,50053,51396,53724,57043,58329,59642,60223,62068,64289,8075
NO,29695,34989,50304,56655
NP,17501
NZ,136557,9500
PA,209272,209588,211632,267784
PE,6147
PH,132199,133334,13335,17639,55821,9009,9299
PK,135661,17557,9541
PL,12741,12876,201814,20960,210558,30813,396982,44477,5617,9009
PR,14638
PT,14618,203020,211680,212238,213277,21859,2860,47674
QA,8781
RO,200651,203053,204428,214209,214295,399629,47890,9009
RS,9009
RU,12389,12555,13238,16276,198610,198770,198953,199785,203020,206728,207713,209290,211659,212835,216246,216341,216473,29124,29182,29194,3216,34267,34665,35048,35526,41268,42132,42498,44587,48282,49505,49825,51247,8359,9009
SA,25019,31898,47794,59711
SC,12989,174,197450,202425,206264,207184,401120,984
SE,12552,1257,16509,197854,20473,210644,212238,214503,214640,30893,39351,42708,51747,8075,8473
SG,132203,136907,14061,141995,142002,152644,16276,16509,199524,212238,31898,396982,400940,45102,59253,8075,9009
SI,3212
SK,212238,6855
SO,37371
SZ,327750
TH,135377,45102
TR,13335,15924,202422,202505,204457,209800,212219,212238,216099,47524,60647
TW,131596,135377,137409,3462,396982,53813
UA,200000,211632,211736,212238,31148,47987,48230,48693,50648,52074
US,10439,10796,11320,11417,11492,11840,11878,12271,13213,132203,13333,13335,135377,14061,142002,14593,14618,14956,15169,15830,16276,16417,16509,174,17561,18779,19871,20001,200373,20055,20115,202425,203020,20326,203999,20454,20473,207184,207990,209,209366,210558,210644,212238,212317,213230,213412,213438,214940,214943,215703,215925,21769,21859,21928,22611,22612,22772,22773,23033,23470,25737,262287,26347,26496,27176,29802,30060,31898,32002,32934,33363,3356,35916,36086,36103,36352,393886,394996,396073,396356,396982,398101,398324,398705,398722,399045,400161,40021,400304,400536,40065,400882,401696,40702,40861,4213,42624,45102,46261,46824,50219,51765,53514,53667,53824,53831,56322,5650,56655,60068,60223,6128,6167,6186,6206,62240,6233,62744,62874,62904,63023,63199,6389,63949,6939,701,7018,7029,714,7393,7922,8075,8560,9009
UY,137409,6057
Unknown,6939
VE,8048
VN,135377,135905,135918,135967,140813,140814,140817,150862,150895,18403,45899,63760,7552
ZA,11845,31898,37611,984
ZW,56696
