Known ASNs
174
701
834
984
1101
2914
3215
3269
3320
3462
4134
4766
4808
4812
4837
5089
5413
5650
6147
6206
6233
6730
6855
6939
7029
7684
7713
7765
7922
8048
8075
8100
8447
8560
8796
9009
9123
9312
9498
9500
9605
9808
10439
10620
11417
11492
11878
12322
12555
12586
12741
12816
12876
12989
13213
13335
14061
14593
14618
15169
15557
15704
15830
16276
16509
17488
17561
17621
17622
17638
18209
18403
20115
20473
20960
21859
22047
23033
23470
23959
24560
24940
24961
25019
25369
26561
27650
27747
27901
27947
27951
29119
29194
29802
30893
31898
32002
32934
33363
34665
34977
34989
35042
35916
36103
36352
36680
37069
38493
39351
39486
39493
40021
40702
41019
42132
42473
42708
43205
43357
43513
44477
44592
45090
45102
45820
47890
48014
48090
48282
48721
48753
49434
49532
49544
49581
49870
50053
50304
50360
51167
51247
51396
51430
51747
51765
51852
53667
54801
56046
56322
56380
56655
57043
57269
57509
58461
58519
58689
59711
60068
60223
60647
60729
61828
62425
62744
63199
63838
63859
63949
64289
132203
132883
134768
135377
135905
136197
136557
137695
140061
142403
152644
197540
197854
198610
200019
201409
201814
202306
202425
203003
203020
204035
204428
204457
205100
206728
207184
207656
207990
208046
208843
209043
209101
209366
209605
210644
211298
211590
211619
211680
211736
212238
212317
212512
213277
213412
213511
213619
213887
214295
214503
214556
214640
214834
214940
214943
215292
215730
215925
216246
264556
265091
267784
394256
396073
396982
398324
398705
398722
399486
399629
399979
400161
400882
401115
401116
401120
None
